EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
3.1 민속문화제,,2000-03-01,2000-03-01,,창녕군 영산읍 일원,"영산 쇠머리대기, 영산 줄다리기, 시조경창대회"
2000년 한국무용제전,,2000-03-10,2000-03-11,한국무용연구회,문예회관 대극장,
경기도 연극축전,,2000-03-11,2000-03-17,,경기,"무연시 ＜택시 택시＞ 외 9개 작품, 성남시민회관 등"
백운산 약수제,,2000-03-16,2000-03-16,,광양 백운산,백도용왕제
2000 신춘단막극선,,2000-03-17,2000-03-22,한국연극연출가협회,서울,"극단 76단 ＜해로가＞ 외 5개 작품, 문예회관소극장"
제3회 울산연극제,,2000-03-21,2000-03-25,,울산,"광대 ＜무녀도＞ 외 4개 작품, 울산문예회관"
한국의 술과 떡 축제,,2000-03-24,2000-04-02,,경주보문단지,신라국악전 외
2000 해외명작단막극 공연,,2000-03-25,2000-04-02,한국연극연출가협회,서울,"뿌리 ＜수업＞ 외 5개 작품, 문예회관소극장"
2000 광주비엔날레,,2000-03-26,2000-06-07,,중외 공원,"전통국악공연, 해외민속공연 외"
제1회 흙의 예술제,,2000-03-28,2000-06-28,,영안군 구림리,‘흙의 소리’ 공연 외 전시
2000 인천연극제,,2000-03-29,2000-04-23,,인천,"예랑 ＜다시라기＞ 외 3개 작품, 인천 수봉문화회관"
유달산 개나리꽃 축제,,2000-03-31,2000-04-02,,유달산 달성공원 일대,"민속놀이 경연대회, 풍물탈춤놀이 한마당 외"
제38회 진해군항제,,2000-04-01,2000-04-10,,진해시 일대,"국악공연, 경연대회"
2000년 양주별산대놀이,,2000-04-01,2000-10-31,,잉주별산대놀이 전수회관,양주별산대놀이 전과정
제18회 충북연극제,,2000-04-01,2000-04-09,,충북,"청사 ＜늙은 도둑 이야기＞ 외 4개 작품, 청주 예술의전당 등"
제18회 부산연극제,,2000-04-01,2000-04-23,,부산,"동녘 ＜복어알＞ 외 8개 작품, 부산시민회관 등"
영취산 진달래축제,,2000-04-03,2000-04-04,,여수 영취산,영취산 산신제 외
플라워 페스티벌,,2000-04-05,2000-04-30,,롯데월드,"사물놀이, 농악놀이 외"
제5회 남해 벚꽃축제,,2000-04-05,2000-04-09,,남해대교 외,"김덕수 사물놀이, 민속놀이 외"
2000 봄꽃축제 과천 어린이대공원,,2000-04-08,2000-05-07,,과천 어린이대공원,"풍물패 길놀이 공연, 국악한마당 외"
화개장터 벚꽃축제,,2000-04-08,2000-04-10,,화개장터,전통줄타기 외
사천 선진리성 벚꽃축제,,2000-04-08,2000-04-17,,사천 용현면 선진리,무형문화재 발표 및 마당극
영암 왕인축제,,2000-04-09,2000-04-12,,영암 공설운동장 외,"길놀이, 국악경연 외"
제4회 광주연극제,,2000-04-11,2000-04-15,,광주,"얼아리 ＜그들의 사회화＞ 외 4개 작품, 광주문예회관소극"
5비이락-혜화동 1번지 제2기 동인,,2000-04-13,2000-05-31,,서울,"청우 ＜네 개의 악몽＞ 외 4개 작품, 혜화동일번지"
신탄진 봄꽃제-한국담배인삼공사,,2000-04-15,2000-04-16,,한국담배인삼공사,대덕풍물한마당 외
북유럽 문화축제,,2000-04-15,2000-04-30,,서울,"스웨덴 ＜동물들이 얘기한다＞ 등 스웨덴, 노르웨이, 핀란드문화축제, 예술의 전당 토월극장"
광양연극제,,2000-04-15,2000-11-30,,광양,광양문예회관
진주 민속투우대회,,2000-04-16,2000-04-18,,진주성 일대,삼천포 농악공연 외
제10회 제주연극제,,2000-04-17,2000-04-19,,제주,"무 ＜쌍곡선＞ 외 3개 작품, 제주도문예회관 소극장"
제22회 남도국악제,,2000-04-18,2000-04-19,,영광실내체육관 외,"국악공연, 경연대회"
제24회 가락문화제,,2000-04-18,2000-04-21,,김해공설운동장,"춘향대제, 가야금경연대회 외"
지리산 약수제,,2000-04-19,2000-04-22,,구례 화엄사 지구,약수제례 외
충주 세계무술죽제,,2000-04-19,2000-04-22,,충주체육관,풍물놀이 외
제17회 강원연극제,,2000-04-19,2000-04-23,,춘천,"굴렁쇠 ＜돼지비계＞ 외 4개 작품, 춘천시민회관 소극장"
제16회 전북연극제,,2000-04-20,2000-04-28,,전주,"창작극회 ＜영월행일기＞ 외 1개 작품, 전주 창작소극장, 익산 솜리예술극장"
수봉산 벚꽃축제,,2000-04-21,2000-04-23,,수봉공원,
단양군팔경 축제,,2000-04-22,2000-04-23,,단양군 단성면 소재,"두향추모제, 추화교 다리밟기 외"
비슬산 참꽃제,,2000-04-23,2000-04-23,,비슬산 자연휴양림 외,"사물놀이, 농악놀이 외"
제2회 한 • 일댄스2000 페스티벌,,2000-04-25,2000-05-21,,씨어터제로,
2000 고양 세계꽃박람회,,2000-04-26,2000-05-07,,고양시 일산 일원,"농악, 사물놀이, 전통춤 외"
창원 야철축제,,2000-04-26,2000-05-13,,성산아트홀 외,"신춘국악제, 신춘음악제 외"
제2회 부안 해변축제,,2000-04-28,2000-05-03,,부안군 벽산면 일대,"농악놀이, 국악공연 외"
제18회 경남연극제,,2000-04-28,2000-05-03,,김해,"고도 ＜슬픔의 노래＞ 외 7개 작품, 김해문화원, 칠암문화센터"
제43회 밀양문화제,,2000-04-29,2000-05-01,,남천강변 야외공연장 외,"백중놀이, 국악발표회 외"
2000 청주 항공엑스포,,2000-04-29,2000-05-07,,청주국제공항 외,사물놀이 외
복사골예술제,,2000-04-29,2000-05-07,,부천 중앙공원 외,"시조경창대회, 국악제 외"
풍남제,,2000-04-30,2000-05-07,,전주공설운동장 외,"창극공연, 제26회 전주대사습놀이 전국대회 외"
제17회 대구연극제,,2000-04-30,2000-05-08,,대구,"예전 ＜신랑 달기＞ 외 3개 작품, 대구문예회관 대극장"
제11회 한산모시문화제,,2000-05-01,2000-05-07,,서천군 한산모시관,"풍물길놀이, 전통민속공연 외"
제암 철죽제,,2000-05-01,2000-05-07,,장흥군 탐진강,풍물공연 외
보성다향제,,2000-05-01,2000-05-01,,,"민속놀이 및 시연, 국악공연 외"
제10회 목련연극제,,2000-05-01,2000-05-28,,대구,"예전 ＜눈뜨라 부르는 소리가 있어＞ 외 3개 작품, 예전아트홀"
제23회 영등축제,,2000-05-03,2000-05-06,,진도 회동야외공연장,"진도가락공연, 민요민속공연 외"
제34회 진남제,,2000-05-03,2000-05-07,,여수시 중앙동,"시조경창대회, 한 • 중민속예술교류 공연 외"
제70회 춘향제,,2000-05-04,2000-05-09,,남원시 일원,춘향국악대전 외
제18회 충청남도 연극제,,2000-05-04,2000-05-08,,공주,"천안 ＜조선제왕신위＞ 외 4개 작품, 공주문예회관"
제7회 낙안 민속문화축제,,2000-05-05,2000-05-07,,낙안읍성 민속마을,"어린이 옛동요경연대회, 청소년 농악경연대회, 국악공연 외"
장성 홍길동축제,,2000-05-05,2000-05-07,,장성군 장성공원,전통 품바공연 외
제2회 함평 나비대축제,,2000-05-05,2000-05-08,,함평천 광장 외,전통공연 외
2000 서울 세계청소년 무용축제,,2000-05-05,2000-05-07,한국 현대무용진홍회,교육문화회관 대극장,주제 ‘평화 그리고 무용’
삼색유산놀이 한마당잔치,,2000-05-07,2000-05-07,,,"사물놀이 경연, 나주 삼현육각, 판소리 외"
아카시아 벌꿀축제,,2000-05-08,2000-05-11,,칠곡군 지천면,"지천농악대 축하공연, 사물놀이 외"
속리산축전,,2000-05-09,2000-05-11,,속리산일원,"민속예술경연대회, 전국 시조경창대회 외"
갑오농민혁명 문화제,,2000-05-10,2000-05-12,,정읍농 • 공고 외,국악공연 외
연등축제,,2000-05-11,2000-05-11,,종로,"오색등불행진, 대동놀이 외"
제9회 안양예술제,,2000-05-12,2000-05-25,,안양문예회관,국악한마당 외
약령시축제,,2000-05-13,2000-05-19,,남성로 약전골목,"길놀이, 초등학교 농악경연 외"
5 • 18 마당극제,,2000-05-15,2000-05-21,,광주,"토박이 ＜금희의 오월＞ 외 4개 작품, 광주시 망월동 야외무대"
2000 페르난도 아라발 연극페스티발,,2000-05-15,2000-05-12,,서울,"T.C ＜게르니카＞ 외 4개 작품, 동숭아트센터 소극장 등"
제3회 셰익스피어연극 상설무대,,2000-05-15,2000-07-02,,서울,"노뜰 ＜황야＞ 외 3개 작품, 리듬공간 소극장"
하동 야생차문화축제,,2000-05-19,2000-05-23,,하동실내체육관 외,전통농악공연 외
부산 청소년예술제,,2000-05-20,2000-06-10,,부산시민회관 대 • 소강당,전국 청소년국악경연대회 외
경기 소극장페스티벌,,2000-05-20,2000-06-02,,수원,"촌벽 ＜선각인간 나혜석＞ 외 3개 작품, 촌벽소극장"
제5회 영 • 호남 춤 페스티벌,,2000-05-21,2000-05-22,,대구문예회관 대극장,
여성연출가전,,2000-05-22,2000-06-17,,서울,"이진숙 외, ＜청혼＞ 외 2개 작품, 예술극장 활인"
2000 춘천 국제마임축제,,2000-05-24,2000-05-28,,춘천,준천문예회관 등
장생포 고래축제,,2000-05-25,2000-05-28,,장생포 울산해양공원 외,풍물한마당 외
제19회 국제현대무용제,,2000-05-25,2000-05-28,,문예회관 대극장,"참가: 일본 운 야마다무용단, 밀레현대무용단, 미르 현대무용단, 박인숙지구댄스씨어터, 멕시코 델포스컨템포러리무용단, 김혜정 현대무용단, 호주 익스프레션무용단, 김기인과스스로춤모임. 안신희무용단, 정옥조나는새무용단, 임지형광주현대 무용단, 밀물현대 무용단"
제29회 부산민속예술제,,2000-05-26,2000-05-28,,금정문화회관 외,민속예술경연대회 외
여주 도자기박람회,,2000-05-26,2000-06-04,,여주군 북내면 일원,
제11회 서울인형극체,,2000-05-26,2000-05-28,,"서울, 경기","6개국 13개 단체, 목동 청소년회관 극장 등"
제5회 장보고축제,,2000-05-27,2000-05-31,,완도국제무역항 일대,장보고배 전국 국악경연대회 외
제12회 마산 국제연극제,,2000-05-27,2000-07-02,,마산,"국내 8개 작품, 해외 5개 작품, 마산 올림픽기념 대극장 등"
제10회 경기도 아마추어연극제,,2000-05-27,2000-05-31,,양평,수원사랑 ＜김치국씨 환장하다＞ 외 28개 작품
제14회 부산 청소년연극축전,,2000-05-29,2000-06-09,,부산,"혜광고 ＜칠수와 만수＞ 외 10개 작품, 부산시민회관 소극"
제2회 대전 무용페스티발,,2000-05-30,2000-05-31,21세기현대무용연구회,대전 엑스포아트홀 대강당,
제18회 전국연극제,,2000-05-31,2000-06-17,,울산,"청년극장 ＜세월이 가면＞ 외 14개 작품, 울산문예회관"
제12회 전북 대학연극제,,2000-06-01,2000-06-05,,전주,원광대 ＜천상지연＞ 외 7개 작품
제3회 한일 아트페스티벌,,2000-06-01,2000-06-14,,서울,"국내 16개 작품, 일본 7개 작품, 씨어터 제로"
한 • 일 아트페스티벌,,2000-06-01,2000-06-14,민예총 민족춤위원회 주최,씨어터제로,
제5회 무드리 청소년예술제,,2000-06-02,2000-06-02,,광주 북구 청소년수련관,국악경연대회 외
소백사랑 철쭉사랑,,2000-06-04,2000-06-04,,영주시 소백산 일대,국악공연 외
강릉단오제,,2000-06-04,2000-06-08,,강릉일대,"무당굿, 송신제, 관노가면극, 농악경연대회 외"
법성단오제,,2000-06-05,2000-06-07,,영광군 법성면 일대,"국악경진대회, 영광 우도 농악공연 외"
명동축제,,2000-06-09,2000-07-01,,명동 일원,민속놀이 외
무주 반딧불축제,,2000-06-10,2000-06-14,,무주군 일원,반딧불 번성기원제 외
제7회 민족춤제전 공연,,2000-06-12,2000-06-15,민예총 민족춤위원회,문예회관 대극장,
서울 단오민속축제,,2000-06-15,2000-06-16,,보라매공원,"단오제, 무형문화재공연, 대동놀이 외"
제4회 함세덕연극제,,2000-06-15,2000-06-22,,인천,"연극공동체 옥랑 ＜어둠아기 빛아기＞ 외 1개 작품, 인천종합 문예회관 등"
제6회 죽산국제예술제,,2000-06-15,2000-06-18,,죽산 웃는돌 캠프,주제 21세기를 위한 전주곡
죽산 국제예술제,,2000-06-16,2000-06-18,,안성시 웃는돌 캠프,
제5회 황해예술제,,2000-06-16,2000-06-18,,인천종합문예회관,
제8회 젊은연극제,,2000-06-18,2000-06-27,,서울,"중앙대 ＜둥둥 낙랑등＞ 외 23개 작품, 문예회관 대극장 등"
제3회 도솔산 전적문화제,,2000-06-19,2000-06-21,,양구종합운동장 외,"강원도 사물놀이 경연대회, 국악공연 외"
마토 연극의 날,,2000-06-24,2000-06-00,,서울,"매달 마지막 토요일, 대학로 일대"
2000 경상남도무용제,,2000-06-30,2000-07-01,,창원 성산아트홀 대극장,"주관 경상남도 창원시, 한국무용협회 경상남도지회"
제4회 창작마을 단막극제,,2000-07-01,2000-07-23,,서울,"＜도미에 관한 세가지 연상＞ 외 2개 작품, 명동창고극장"
제4회 전국 주부연극제,,2000-07-01,2000-07-14,,서울,"아마추어 주부극단 14개 단체, 여의도 굿모닝증권 빌딩 공연장"
지하철역의 여성문화 축제,,2000-07-01,2000-07-02,,"경복궁역, 을지로 입구역",
부산 여름무용축제,,2000-07-02,2000-07-06,,,"7월4-5일 :젊은 안무가 페스티벌, 경성대 정보과 소극장 7월6일:중견무용인의 밤 7월7일 : 김정수&단국컨템포러리 외 해운대 아외무대"
창무국제예술제,,2000-07-05,2000-07-08,,호암아트홀 포스트극장,"드래곤 플라이 마임（뉴질랜드）, 장칸파댄스컴퍼니 시암무용단, 사토 페치카（일본）, 창무회, 밀물현대 무용단, 나는새 현대무용단"
제1회 의정부 전국아동연극축제,,2000-07-08,2000-07-23,"한샘, 무연시 공동주최",의정부,의정부시민회관
서울 국제어린이 공연예술제,,2000-07-13,2000-08-13,,서울,"국내 4개 작품, 해외 2개 작품, 동승홀 등"
제1회 영호남연극제,,2000-07-14,2000-07-17,,진주,"현장 ＜허탕＞ 외 5개 작품, 경남문예회관"
제10회 고창 수박축제,,2000-07-20,2000-07-22,,고창 대성고교,농악놀이 외
제3회 압록강변축제,,2000-07-21,2000-07-23,,곡성 압록유원지,"국악공연, 심청가 판소리 한마당 외"
세계춤 2000서울,,2000-07-26,2000-07-30,세계무용연맹 한국본부,예술의전당 외,
진혼예술제,,2000-07-27,2000-07-27,,국립 현충원,해원굿 외
제8회 아우라지 뗏목제 및 강냉이축제,,2000-07-29,2000-07-20,,정선군 아우라지,
제3회 안면도축제 아트컬리지,,2000-07-29,2000-08-01,,태안군 영목항 외,
제4회 수원화성 국제연극제,,2000-07-29,2000-08-06,,수원,"국내 4개 단체, 해외 5개 단체, 화서문 등"
제3회 안면도예술축제,,2000-07-29,2000-08-01,소리짓발전소,태안,미네트 ＜마임＞ 등
ACF하계 현대무용페스티벌,,2000-07-29,2000-08-11,,세종문화회관 소극장,"현대무용, 재즈, 바디컨디셔닝"
부산 바다축제,,2000-08-01,2000-08-10,,해운대 외,"마당놀이, 굿한마당 외"
제12회 거창 국제연극제,,2000-08-01,2000-08-15,,거창,"국내 21개 작품, 해외 5개 작품, 거창군 일원의 실내 및 아외 특설무대"
2000 기장 갯마을축제,,2000-08-02,2000-08-05,,부산,"창원, 서울, 부산 4개 단체, 아마추어 9개 단체, 일광해수욕장 야외 특설무대"
제1회 익산 세계 아동 • 청소년 공연예술축제,,2000-08-04,2000-08-14,,익산,"국내 10개 단체, 해외 8개 단체, 익산 야외공연장 등"
익산 세계 아동청소년 예술제,,2000-08-04,2000-08-13,,익산 시내 9개 공연장,주제 놀이와 배움
2인극 페스티벌 - 딴짓문화축제 1,,2000-08-05,2000-09-24,,서울,"＜토템＞ 외 7개 작품, 동숭아트센터 소극장 및 동숭아트센터 옥상 야외공연장"
제4회 문경 차문화축제,,2000-08-06,2000-08-06,,문경새재 1관문,"두리차회, 칠석다례 외"
열대야 페스티벌,,2000-08-09,2000-08-13,,국립극장,"국악과 타악 소리, 그 환상의 어울림 외"
